id,date,country,recovered
827,2020-03-25,France,657
829,2020-03-26,Italy,999
831,2020-03-26,Spain,1648
833,2020-03-26,France,1048
835,2020-03-27,Italy,589
837,2020-03-27,Spain,2342
839,2020-03-27,France,752
841,2020-03-28,Italy,1434
843,2020-03-28,Spain,2928
845,2020-03-28,France,17
576,2020-02-12,US,0
578,2020-02-13,"Korea, South",0
580,2020-02-13,United Kingdom,0
582,2020-02-13,US,0
584,2020-02-14,"Korea, South",0
586,2020-02-14,United Kingdom,0
588,2020-02-14,US,0
590,2020-02-15,"Korea, South",2
592,2020-02-15,United Kingdom,0
594,2020-02-15,US,0
596,2020-02-16,"Korea, South",0
598,2020-02-16,United Kingdom,7
600,2020-02-16,US,0
602,2020-02-17,"Korea, South",1
604,2020-02-17,United Kingdom,0
606,2020-02-17,US,0
608,2020-02-18,"Korea, South",2
610,2020-02-18,United Kingdom,0
612,2020-02-18,US,0
614,2020-02-19,"Korea, South",0
616,2020-02-19,United Kingdom,0
618,2020-02-19,US,0
620,2020-02-20,"Korea, South",4
622,2020-02-20,United Kingdom,0
624,2020-02-20,US,0
626,2020-02-21,"Korea, South",0
628,2020-02-21,United Kingdom,0
630,2020-02-21,US,2
632,2020-02-22,"Korea, South",0
634,2020-02-22,United Kingdom,0
636,2020-02-22,US,0
638,2020-02-23,"Korea, South",2
640,2020-02-23,United Kingdom,0
642,2020-02-23,US,0
644,2020-02-24,"Korea, South",0
646,2020-02-24,United Kingdom,0
648,2020-02-24,US,0
650,2020-02-25,"Korea, South",4
652,2020-02-25,United Kingdom,0
654,2020-02-25,US,1
656,2020-02-26,"Korea, South",0
658,2020-02-26,United Kingdom,0
660,2020-02-26,US,0
662,2020-02-27,"Korea, South",0
664,2020-02-27,United Kingdom,0
666,2020-02-27,US,0
668,2020-02-28,"Korea, South",0
670,2020-02-28,United Kingdom,0
672,2020-02-28,US,1
674,2020-02-29,"Korea, South",5
676,2020-02-29,United Kingdom,0
678,2020-02-29,US,0
680,2020-03-01,"Korea, South",3
682,2020-03-01,United Kingdom,0
684,2020-03-01,US,0
686,2020-03-02,"Korea, South",0
688,2020-03-02,United Kingdom,0
690,2020-03-02,US,0
692,2020-03-03,"Korea, South",0
694,2020-03-03,United Kingdom,0
696,2020-03-03,US,0
698,2020-03-04,"Korea, South",11
700,2020-03-04,United Kingdom,0
702,2020-03-04,US,0
704,2020-03-05,"Korea, South",0
706,2020-03-05,United Kingdom,0
708,2020-03-05,US,0
710,2020-03-06,"Korea, South",94
712,2020-03-06,United Kingdom,0
714,2020-03-06,US,0
716,2020-03-07,"Korea, South",0
718,2020-03-07,United Kingdom,10
720,2020-03-07,US,0
722,2020-03-08,"Korea, South",-17
724,2020-03-08,United Kingdom,0
726,2020-03-08,US,0
728,2020-03-09,"Korea, South",0
730,2020-03-09,United Kingdom,0
732,2020-03-09,US,0
734,2020-03-10,"Korea, South",129
736,2020-03-10,United Kingdom,1
738,2020-03-10,US,1
740,2020-03-11,"Korea, South",41
742,2020-03-11,United Kingdom,0
744,2020-03-11,US,0
746,2020-03-12,"Korea, South",45
748,2020-03-12,United Kingdom,0
750,2020-03-12,US,4
752,2020-03-13,"Korea, South",177
754,2020-03-13,United Kingdom,0
756,2020-03-13,US,0
758,2020-03-14,"Korea, South",0
760,2020-03-14,United Kingdom,0
762,2020-03-14,US,0
764,2020-03-15,"Korea, South",0
766,2020-03-15,United Kingdom,0
768,2020-03-15,US,0
770,2020-03-16,"Korea, South",627
772,2020-03-16,United Kingdom,2
774,2020-03-16,US,5
776,2020-03-17,"Korea, South",270
778,2020-03-17,United Kingdom,32
780,2020-03-17,US,0
782,2020-03-18,"Korea, South",133
784,2020-03-18,United Kingdom,14
786,2020-03-18,US,88
788,2020-03-19,"Korea, South",0
790,2020-03-19,United Kingdom,0
792,2020-03-19,US,16
794,2020-03-20,"Korea, South",0
796,2020-03-20,United Kingdom,0
798,2020-03-20,US,26
800,2020-03-21,"Korea, South",0
802,2020-03-21,United Kingdom,0
804,2020-03-21,US,29
806,2020-03-22,"Korea, South",1369
808,2020-03-22,United Kingdom,0
810,2020-03-22,US,2
812,2020-03-23,"Korea, South",0
814,2020-03-23,United Kingdom,0
816,2020-03-23,US,0
818,2020-03-24,"Korea, South",598
