id,date,country,deaths
99,2020-02-07,Spain,0
100,2020-02-07,United Kingdom,0
101,2020-02-07,France,0
102,2020-02-07,US,0
103,2020-02-08,Italy,0
104,2020-02-08,"Korea, South",0
105,2020-02-08,Spain,0
106,2020-02-08,United Kingdom,0
107,2020-02-08,France,0
108,2020-02-08,US,0
109,2020-02-09,Italy,0
110,2020-02-09,"Korea, South",0
111,2020-02-09,Spain,0
112,2020-02-09,United Kingdom,0
113,2020-02-09,France,0
114,2020-02-09,US,0
115,2020-02-10,Italy,0
116,2020-02-10,"Korea, South",0
117,2020-02-10,Spain,0
118,2020-02-10,United Kingdom,0
119,2020-02-10,France,0
120,2020-02-10,US,0
121,2020-02-11,Italy,0
122,2020-02-11,"Korea, South",0
123,2020-02-11,Spain,0
124,2020-02-11,United Kingdom,0
125,2020-02-11,France,0
126,2020-02-11,US,0
127,2020-02-12,Italy,0
128,2020-02-12,"Korea, South",0
129,2020-02-12,Spain,0
130,2020-02-12,United Kingdom,0
131,2020-02-12,France,0
132,2020-02-12,US,0
133,2020-02-13,Italy,0
134,2020-02-13,"Korea, South",0
135,2020-02-13,Spain,0
136,2020-02-13,United Kingdom,0
137,2020-02-13,France,0
138,2020-02-13,US,0
139,2020-02-14,Italy,0
140,2020-02-14,"Korea, South",0
141,2020-02-14,Spain,0
142,2020-02-14,United Kingdom,0
143,2020-02-14,France,0
144,2020-02-14,US,0
145,2020-02-15,Italy,0
146,2020-02-15,"Korea, South",0
147,2020-02-15,Spain,0
148,2020-02-15,United Kingdom,0
149,2020-02-15,France,1
150,2020-02-15,US,0
151,2020-02-16,Italy,0
152,2020-02-16,"Korea, South",0
153,2020-02-16,Spain,0
154,2020-02-16,United Kingdom,0
155,2020-02-16,France,0
156,2020-02-16,US,0
157,2020-02-17,Italy,0
158,2020-02-17,"Korea, South",0
159,2020-02-17,Spain,0
160,2020-02-17,United Kingdom,0
161,2020-02-17,France,0
162,2020-02-17,US,0
163,2020-02-18,Italy,0
164,2020-02-18,"Korea, South",0
165,2020-02-18,Spain,0
166,2020-02-18,United Kingdom,0
167,2020-02-18,France,0
168,2020-02-18,US,0
169,2020-02-19,Italy,0
170,2020-02-19,"Korea, South",0
171,2020-02-19,Spain,0
172,2020-02-19,United Kingdom,0
173,2020-02-19,France,0
174,2020-02-19,US,0
175,2020-02-20,Italy,0
176,2020-02-20,"Korea, South",1
177,2020-02-20,Spain,0
178,2020-02-20,United Kingdom,0
179,2020-02-20,France,0
180,2020-02-20,US,0
181,2020-02-21,Italy,1
182,2020-02-21,"Korea, South",1
183,2020-02-21,Spain,0
184,2020-02-21,United Kingdom,0
185,2020-02-21,France,0
186,2020-02-21,US,0
187,2020-02-22,Italy,1
188,2020-02-22,"Korea, South",0
189,2020-02-22,Spain,0
190,2020-02-22,United Kingdom,0
191,2020-02-22,France,0
192,2020-02-22,US,0
193,2020-02-23,Italy,1
194,2020-02-23,"Korea, South",4
195,2020-02-23,Spain,0
196,2020-02-23,United Kingdom,0
197,2020-02-23,France,0
198,2020-02-23,US,0
199,2020-02-24,Italy,4
200,2020-02-24,"Korea, South",2
201,2020-02-24,Spain,0
202,2020-02-24,United Kingdom,0
203,2020-02-24,France,0
204,2020-02-24,US,0
205,2020-02-25,Italy,3
206,2020-02-25,"Korea, South",2
207,2020-02-25,Spain,0
208,2020-02-25,United Kingdom,0
209,2020-02-25,France,0
210,2020-02-25,US,0
211,2020-02-26,Italy,2
212,2020-02-26,"Korea, South",2
213,2020-02-26,Spain,0
214,2020-02-26,United Kingdom,0
215,2020-02-26,France,1
216,2020-02-26,US,0
217,2020-02-27,Italy,5
218,2020-02-27,"Korea, South",1
219,2020-02-27,Spain,0
220,2020-02-27,United Kingdom,0
221,2020-02-27,France,0
222,2020-02-27,US,0
223,2020-02-28,Italy,4
224,2020-02-28,"Korea, South",0
225,2020-02-28,Spain,0
226,2020-02-28,United Kingdom,0
227,2020-02-28,France,0
228,2020-02-28,US,0
229,2020-02-29,Italy,8
230,2020-02-29,"Korea, South",3
231,2020-02-29,Spain,0
232,2020-02-29,United Kingdom,0
233,2020-02-29,France,0
234,2020-02-29,US,1
235,2020-03-01,Italy,5
236,2020-03-01,"Korea, South",1
237,2020-03-01,Spain,0
238,2020-03-01,United Kingdom,0
239,2020-03-01,France,0
240,2020-03-01,US,0
241,2020-03-02,Italy,18
242,2020-03-02,"Korea, South",11
243,2020-03-02,Spain,0
244,2020-03-02,United Kingdom,0
245,2020-03-02,France,1
246,2020-03-02,US,5
247,2020-03-03,Italy,27
248,2020-03-03,"Korea, South",0
249,2020-03-03,Spain,1
250,2020-03-03,United Kingdom,0
251,2020-03-03,France,1
252,2020-03-03,US,1
253,2020-03-04,Italy,28
254,2020-03-04,"Korea, South",7
255,2020-03-04,Spain,1
256,2020-03-04,United Kingdom,0
257,2020-03-04,France,0
258,2020-03-04,US,4
259,2020-03-05,Italy,41
260,2020-03-05,"Korea, South",0
261,2020-03-05,Spain,1
262,2020-03-05,United Kingdom,1
263,2020-03-05,France,2
264,2020-03-05,US,1
265,2020-03-06,Italy,49
266,2020-03-06,"Korea, South",7
267,2020-03-06,Spain,2
268,2020-03-06,United Kingdom,1
269,2020-03-06,France,3
270,2020-03-06,US,2
271,2020-03-07,Italy,36
272,2020-03-07,"Korea, South",2
273,2020-03-07,Spain,5
274,2020-03-07,United Kingdom,0
275,2020-03-07,France,2
276,2020-03-07,US,3
277,2020-03-08,Italy,133
278,2020-03-08,"Korea, South",6
279,2020-03-08,Spain,7
280,2020-03-08,United Kingdom,1
281,2020-03-08,France,8
282,2020-03-08,US,4
283,2020-03-09,Italy,97
284,2020-03-09,"Korea, South",3
285,2020-03-09,Spain,11
286,2020-03-09,United Kingdom,1
287,2020-03-09,France,0
288,2020-03-09,US,1
289,2020-03-10,Italy,168
290,2020-03-10,"Korea, South",1
291,2020-03-10,Spain,7
292,2020-03-10,United Kingdom,2
293,2020-03-10,France,14
294,2020-03-10,US,6
295,2020-03-11,Italy,196
296,2020-03-11,"Korea, South",6
297,2020-03-11,Spain,19
298,2020-03-11,United Kingdom,2
299,2020-03-11,France,15
300,2020-03-11,US,8
301,2020-03-12,Italy,0
302,2020-03-12,"Korea, South",6
303,2020-03-12,Spain,1
304,2020-03-12,United Kingdom,0
305,2020-03-12,France,0
306,2020-03-12,US,4
307,2020-03-13,Italy,439
308,2020-03-13,"Korea, South",0
309,2020-03-13,Spain,78
310,2020-03-13,United Kingdom,0
311,2020-03-13,France,31
312,2020-03-13,US,7
313,2020-03-14,Italy,175
314,2020-03-14,"Korea, South",6
315,2020-03-14,Spain,62
316,2020-03-14,United Kingdom,13
317,2020-03-14,France,12
318,2020-03-14,US,7
319,2020-03-15,Italy,368
320,2020-03-15,"Korea, South",3
321,2020-03-15,Spain,94
322,2020-03-15,United Kingdom,0
323,2020-03-15,France,0
324,2020-03-15,US,9
325,2020-03-16,Italy,349
326,2020-03-16,"Korea, South",0
327,2020-03-16,Spain,53
328,2020-03-16,United Kingdom,35
329,2020-03-16,France,58
330,2020-03-16,US,22
331,2020-03-17,Italy,345
332,2020-03-17,"Korea, South",6
333,2020-03-17,Spain,191
334,2020-03-17,United Kingdom,0
335,2020-03-17,France,0
336,2020-03-17,US,23
337,2020-03-18,Italy,475
338,2020-03-18,"Korea, South",3
339,2020-03-18,Spain,90
340,2020-03-18,United Kingdom,16
341,2020-03-18,France,0
342,2020-03-18,US,10
343,2020-03-19,Italy,427
344,2020-03-19,"Korea, South",7
345,2020-03-19,Spain,207
346,2020-03-19,United Kingdom,66
347,2020-03-19,France,95
348,2020-03-19,US,82
349,2020-03-20,Italy,627
350,2020-03-20,"Korea, South",3
351,2020-03-20,Spain,213
352,2020-03-20,United Kingdom,40
353,2020-03-20,France,207
354,2020-03-20,US,44
355,2020-03-21,Italy,793
356,2020-03-21,"Korea, South",8
357,2020-03-21,Spain,332
358,2020-03-21,United Kingdom,56
359,2020-03-21,France,112
360,2020-03-21,US,63
361,2020-03-22,Italy,651
362,2020-03-22,"Korea, South",9
363,2020-03-22,Spain,397
364,2020-03-22,United Kingdom,48
365,2020-03-22,France,113
366,2020-03-22,US,110
367,2020-03-23,Italy,601
368,2020-03-23,"Korea, South",0
369,2020-03-23,Spain,539
370,2020-03-23,United Kingdom,54
371,2020-03-23,France,186
372,2020-03-23,US,140
373,2020-03-24,Italy,743
374,2020-03-24,"Korea, South",9
375,2020-03-24,Spain,497
376,2020-03-24,United Kingdom,87
377,2020-03-24,France,240
378,2020-03-24,US,149
379,2020-03-25,Italy,683
380,2020-03-25,"Korea, South",6
381,2020-03-25,Spain,839
382,2020-03-25,United Kingdom,43
383,2020-03-25,France,231
384,2020-03-25,US,236
385,2020-03-26,Italy,712
386,2020-03-26,"Korea, South",5
387,2020-03-26,Spain,718
388,2020-03-26,United Kingdom,114
389,2020-03-26,France,365
390,2020-03-26,US,267
391,2020-03-27,Italy,919
392,2020-03-27,"Korea, South",8
393,2020-03-27,Spain,773
394,2020-03-27,United Kingdom,181
395,2020-03-27,France,299
396,2020-03-27,US,372
397,2020-03-28,Italy,889
398,2020-03-28,"Korea, South",5
399,2020-03-28,Spain,844
400,2020-03-28,United Kingdom,260
401,2020-03-28,France,320
402,2020-03-28,US,445
403,2020-03-29,Italy,756
404,2020-03-29,"Korea, South",8
405,2020-03-29,Spain,821
406,2020-03-29,United Kingdom,210
407,2020-03-29,France,294
408,2020-03-29,US,441
409,2020-03-30,Italy,812
410,2020-03-30,"Korea, South",6
411,2020-03-30,Spain,913
412,2020-03-30,United Kingdom,180
413,2020-03-30,France,419
414,2020-03-30,US,511
415,2020-03-31,Italy,837
416,2020-03-31,"Korea, South",4
417,2020-03-31,Spain,748
418,2020-03-31,United Kingdom,382
419,2020-03-31,France,502
420,2020-03-31,US,895
421,2020-04-01,Italy,727
422,2020-04-01,"Korea, South",3
423,2020-04-01,Spain,923
424,2020-04-01,United Kingdom,564
425,2020-04-01,France,511
426,2020-04-01,US,884
427,2020-04-02,Italy,760
428,2020-04-02,"Korea, South",4
429,2020-04-02,Spain,961
430,2020-04-02,United Kingdom,569
431,2020-04-02,France,1355
432,2020-04-02,US,1169
433,2020-04-03,Italy,766
434,2020-04-03,"Korea, South",5
435,2020-04-03,Spain,850
436,2020-04-03,United Kingdom,685
437,2020-04-03,France,1122
438,2020-04-03,US,1161
439,2020-04-04,Italy,681
440,2020-04-04,"Korea, South",3
441,2020-04-04,Spain,749
442,2020-04-04,United Kingdom,709
443,2020-04-04,France,1054
444,2020-04-04,US,1320
445,2020-04-05,Italy,525
446,2020-04-05,"Korea, South",6
447,2020-04-05,Spain,694
448,2020-04-05,United Kingdom,623
449,2020-04-05,France,519
450,2020-04-05,US,1212
451,2020-04-06,Italy,636
452,2020-04-06,"Korea, South",3
453,2020-04-06,Spain,700
454,2020-04-06,United Kingdom,442
455,2020-04-06,France,833
456,2020-04-06,US,1164
457,2020-04-07,Italy,604
458,2020-04-07,"Korea, South",6
459,2020-04-07,Spain,704
460,2020-04-07,United Kingdom,786
461,2020-04-07,France,1417
462,2020-04-07,US,1939
463,2020-04-08,Italy,542
464,2020-04-08,"Korea, South",8
465,2020-04-08,Spain,747
466,2020-04-08,United Kingdom,940
467,2020-04-08,France,544
468,2020-04-08,US,1973
469,2020-04-09,Italy,610
470,2020-04-09,"Korea, South",4
471,2020-04-09,Spain,655
472,2020-04-09,United Kingdom,882
473,2020-04-09,France,1341
474,2020-04-09,US,1783
475,2020-04-10,Italy,570
476,2020-04-10,"Korea, South",4
477,2020-04-10,Spain,634
478,2020-04-10,United Kingdom,981
479,2020-04-10,France,987
480,2020-04-10,US,2108
481,2020-04-11,Italy,619
482,2020-04-11,"Korea, South",3
483,2020-04-11,Spain,525
484,2020-04-11,United Kingdom,918
485,2020-04-11,France,636
486,2020-04-11,US,1877
