"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
42,48,1.09347840825764,0.0181918233893743,1.05811060656879,1.06372856847625,1.08115384052373,1.09337752621395,1.10569300245488,1.12357236595185,1.12941951228638
43,49,1.09974331519996,0.0180334259814638,1.06467936018309,1.07025003313936,1.08752682322732,1.09964474696567,1.11185235594591,1.12957282254333,1.13536742347033
44,50,1.10216694056657,0.0178233131854712,1.06750767676501,1.07301497071266,1.09009350448017,1.10207086753144,1.11413564547511,1.13164662433762,1.13737217770947
45,51,1.09982513810658,0.0175707955760368,1.0656536539785,1.07108421719882,1.0879233658561,1.09973156923625,1.11162490900529,1.12888523098572,1.13452836470289
46,52,1.09354967966071,0.0172991903700425,1.05990382821445,1.06525147124649,1.08183236407914,1.09345846065327,1.10516755551272,1.12215904444113,1.12771391957369
47,53,1.08344501788921,0.0170204939096714,1.05033943534814,1.05560163129782,1.07191680464765,1.08335589077738,1.09487607181202,1.11159242519434,1.11705710088628
48,54,1.06531733023705,0.0167109885792881,1.03281337924424,1.03798003253544,1.05399881816112,1.06522995312133,1.07654059069976,1.09295267925482,1.09831783663772
49,55,1.03798768818352,0.0163813401181008,1.00612641375242,1.01119055664457,1.02689217217975,1.03790151364083,1.04898926353062,1.06507876895682,1.0703386839016
50,56,1.00946004150108,0.0161147893605028,0.978119994194162,0.983100627497435,0.998544546126777,1.00937429185824,1.02028205942361,1.03611195537566,1.04128739539615
51,57,0.983688519382711,0.0159386713766276,0.952694618233058,0.957619377914559,0.972891641494582,0.983602436140041,0.994391556172058,1.01005129867305,1.0151716228872
52,58,0.96083008021537,0.0158409672802063,0.930030454659961,0.934923327102372,0.950098588523158,0.960743026251233,0.971466672626311,0.987033782384645,0.99212442457943
53,59,0.940345880593954,0.0158069232666026,0.909617310718249,0.914497739290161,0.929636545531286,0.940257312247601,0.950958665541276,0.966496136667523,0.971577775289727
54,60,0.924123826399158,0.0158462627109649,0.89332387946914,0.898214432897761,0.913386888743892,0.924033254241688,0.934762029571461,0.950342169872613,0.955438485527514
55,61,0.917211767171086,0.0159932851696903,0.886130469551553,0.891064648629562,0.906374390077211,0.917118811334504,0.927947811310659,0.943675966650164,0.948821323123809
56,62,0.921311953529174,0.0162410343935186,0.889752142274059,0.894761582172166,0.91030614538521,0.921216522103267,0.932213730047533,0.948187850298728,0.953414091587655
57,63,0.926284155519264,0.0164726436127308,0.89427671812942,0.899356629302176,0.915120942388019,0.926186509852601,0.937340923252467,0.953544760138246,0.958846502972284
58,64,0.928600249913335,0.0166593544921459,0.896232509531878,0.901369013321971,0.917310043330194,0.928500627283059,0.939781855987159,0.956171308522237,0.961534135194376
59,65,0.933736719290646,0.016863136775674,0.900974968747522,0.906173542286224,0.922308050106926,0.933635206062771,0.945054727000171,0.961646167323832,0.967075358768696
60,66,0.942099485456802,0.0170811521722785,0.90891533177265,0.914180656425129,0.930522845245369,0.941996255001968,0.953563592219552,0.970370443142256,0.975870286875935
61,67,0.950431734008302,0.0172748672256652,0.916871982198945,0.922196727427522,0.938723667314262,0.950327074485643,0.962025709404494,0.979023743928743,0.984586254781392
62,68,0.954627598938317,0.0174087373054714,0.920808780269369,0.926174392344894,0.942828615439147,0.954521778210713,0.966311225294451,0.983441769853293,0.989047785558797
